words,sentiment_coeff
ze_przedsprzedaz,-86.45288733732184
iz,-122.1971550982767
kiedy,-69.45837125037119
wygladu,-60.28604555802997
przed_premiera,-135.86595727457254
grze,-96.27393666186407
pan,-127.83272763482918
przesuniecia,-61.03499002532025
16_kwietnia,-89.77936583637565
wersji,-119.46686464418923
szacuje,-82.54512114865959
recenzje_branzowe,-104.6986358482975
bez,-92.67379732751081
oglosil,-138.50427887712405
recenzje,-106.2665737138186
wzrostu,-115.18021189548728
gdy,-75.97981604671128
druga_gra,-78.05282266403664
czym,-72.26112745889372
ktorzy,-29.89633839602544
pierwszych,-79.14719531359827
pochodna,-81.74401948988536
sukces,-33.83990655687249
wiedzminskie_opowiesci,-82.35971563230119
popularnosci,-51.65622277672318
tej,-44.07100128456931
zwiazanych_z,-64.1099770401366
napisano_w,-87.2893102191869
konsole,-92.67409713541113
glownie,-86.77611150187863
informowal_ze,-46.6720965799601
najpierw,-108.24576379098677
wiedzmina,-60.511721426771274
wydarzenie,-10.436089232039436
telekonferencji,-105.12467263554448
cala_sesja,-83.36020790234346
karciana,-49.846190012833716
cd,-32.48224038260408
otworzyl_sie,-60.52182403416858
27,-31.976026532968255
publikacje_raportu,-40.28153203536379
przesunac,-8.633494674326242
wynikach,-64.64497966419287
przyniosla,-69.4238951075536
wnioskow,-27.81337443824294
zwiazane,-59.458124128496074
w_ramach,-66.19412808090131
2014_r,-94.95467800519499
w_krotkim,-113.85599849928492
swiecie,-60.86857992765796
promocji,-63.25211879893064
oczekiwania_co,-94.18514646975335
wydaje_sie,-28.449714473274838
konsorcjum,-42.554465746203384
okazje,-56.11297367327545
jednoczesnie,-34.3343264692644
projekty,-52.34886242200229
straty,-109.89241915581526
w_dlugim,-44.500222797817244
michal,-112.29944463397047
potrzebujemy,-85.82885108389543
11,-42.78492091835736
v,-85.55711875185487
wersji_jezykowej,-62.91097182947328
w_polskiej,-35.37719575303871
tygodni,-49.31325940535655
targi_e3,-61.94799241646887
prognoz,-40.61663101031157
optymistyczne,-45.44214103293673
naszej,-78.10017214719514
z_ktorymi,-59.754272922178316
2_3,-43.227703803141424
w_ktorym,-75.69305256113894
czeka,-110.44487286258484
tegoroczne,-59.600016584073444
targi,-66.40105989022089
wiecej_niz,-40.82879629406116
nizszy_poziom,-45.37441402146398
w_dniu,-77.88594474054716
mocno,-24.220953655759185
spolka_podala,-46.11414516536565
naprawde,-123.45964235077442
stwierdzil_prezes,-72.51306231099646
dystrybutorow,-47.20824844228033
niespodzianki,-118.903794300099
sama,-98.34338200609685
informacje_o,-115.1478817090097
gdyz,-50.51680494392153
bledu,-32.59252769021389
najwieksza_gra,-41.63660235489052
wieksza,-59.538288657175606
marketingowa,-58.32327562701193
filmy,-57.77861076495156
wyobraznie_inwestorow,-23.279794638553795
of,-80.39848303085823
czytamy_w,-73.17654875728397
zroznicowane,-76.75154568689213
wowczas,-58.949489981322444
wsrod,-97.2962556789195
zaplanowana,-9.619072034902455
majac,-82.42149824841201
ze_strony,-130.13067496186545
premiera_gry,-78.27136908644259
wrzesniowa,-130.7157123707667
poziom_sprzedazy,-52.25607785544406
realizacje,-68.60528666259444
nowakowski,-91.17685253110542
zainteresowania,-50.176288924951535
opinii,-70.68191383251792
ze_gra,-23.0094849550065
wydal,-91.17318678101384
na_platformie,-98.29521937387845
pelne,-48.21509165477207
komputery_pc,-18.863258471489043
na_konsole,-23.780876406028923
ona,-52.462429053213334
decyzje,-67.28827492760706
17_wrzesnia,-85.25839706305042
czerwcowe_targi,-45.50485237343538
gra_aaa,-51.978347841663435
planowana,-91.2441810643265
iii,-37.94562347719348
na_nowe,-32.66210575687323
ego_silverhanda,-97.06518693599145
postaci_johnny,-72.44777440902354
2_proc,-24.128745034803586
podtrzymal_ze,-31.60683890175678
negatywna,-57.1436460645549
czwartek,-50.38424673869447
potencjal,-72.18233689094122
gta5,-61.16123921310946
steam,-71.41354658018952
pojawia_sie,-89.58267832804752
jednym_z,-50.268075383006725
wyniosl,-83.33049905213882
publicznie,-127.24073025263999
30,-41.39004956039562
rowniez,-56.55967767556056
druga,-38.19724218174595
wire,-53.371791436063205
razy,-39.52243307021324
informuje,-90.22964175327844
material,-89.95236744554585
16,-105.33454686347528
12_miesiecy,-61.96780363521866
przesadzone,-69.20854956903355
wolumenu_sprzedazy,-70.4797297291495
prognoze_wolumenu,-78.11961857077092
trwaja,-77.68184689310651
za_2020,-133.72414162838854
miesiaca,-99.27670895703484
powinna,-94.01713367789762
prognoza,-73.06488753475828
z_przesunieciem,-24.338583842437277
wynikow,-60.48397716387288
zblizona_do,-59.872293315644505
1_2,-40.6814343647392
laczny_budzet,-14.329190999419778
jest_zawsze,-132.64232009355572
26_listopada,-11.467894894441212
bledy,-64.70418203015791
niego,-75.4995632531132
z_druga,-53.49262564317379
swoj,-30.258880481283125
przez_cd,-30.285840807093493
sprzedawaj,-43.0857564890652
zyskow_w,-62.4773926408732
pazdziernika,-66.07172795501094
lub,-77.48172893288138
final,-59.52811360271736
znalezc,-63.2370608361348
wspial_sie,-40.54714208428105
ma_szanse,-108.52633208832704
kursu_akcji,-120.333012966323
do_zmiany,-59.94715497035627
podejmiemy_decyzje,-91.54989759502614
ewentualnej_zmianie,-89.29599073144615
dane_sprzedazowe,-96.89586796124743
kupuj_plotki,-53.06497303644767
rajd,-86.35530020933781
cybperunka,-63.02094185293664
autora,-46.08457710182139
sagi,-85.91529535830024
po_premierze,-27.530669793534496
w_najblizszych,-53.61333602379096
dodatkowego,-68.9462362982839
wynagrodzenia,-85.48997411949627
powinni,-78.6634274366091
pozniej,-89.75234090985336
notowania_cd,-98.10043857319248
tuz,-89.77361064244437
60,-85.36718006763124
bo,-31.27526223006547
na_szczyt,-12.462547176953372
tematu,-45.20887301971928
fala_pandemii,-21.017251075595805
roszczen,-86.55558568015223
graczom,-66.74076834496601
wiedzminem,-31.254272629431387
ktorej,-59.45160354773574
tutaj,-69.47788178262672
capcom,-43.349613176679604
sprawe,-82.21492434963233
2016_r,-64.41590030123284
2022,-56.24818917151363
kursu,-132.0832018992145
umow,-41.17872238881645
bazie,-54.72795868671983
zdaniem,-75.46569564165301
akcji,-79.61236389408317
pierwsza,-70.12484910561177
cene_docelowa,-29.63047451117964
zysku,-11.358634901279947
oczekiwana,-73.07057563312556
dla_wyceny,-51.11518065606514
znanego,-41.30975685275137
dlatego,-43.75533902774347
zakladaja_ze,-73.9697788670203
istotne_dla,-43.8281510775953
dziki_gon,-11.908877904417514
zawartosc,-62.528666710248814
konsolach_playstation,-77.30947546315886
wyzsza,-84.30524413155216
aktualizacja,-58.50512743582007
a_pozniej,-10.494343941546566
historycznie,-26.43314072976705
spadki_notowan,-42.314208359576526
geralta,-25.65849864698007
z_pewnoscia,-59.6379341152874
zwiazana,-50.60031735837322
172,-50.91375042950641
8_mln,-18.532166006792195
w_pazdziernikowym,-32.65947696026098
nasz,-33.46817716297584
w_formie,-62.402982596887924
spolke,-103.27281367514404
odslony,-51.107691998183995
cp_2077,-68.42153476655133
informacji_o,-62.029571452973336
sam,-112.64819434218472
spolce_w,-111.5246961197987
w_calosci,-27.646187642747876
jesli_chodzi,-113.67020572805806
niemal,-52.1734299299252
scenariusz,-73.43224745437054
moze_to,-43.90987436251196
wartosci,-23.763466573384132
kapitalu,-64.49431268864369
karolina_gnas,-60.200413354701475
szefowa,-50.009602906083295
lat_w,-65.3683797226127
umowy_z,-64.32966981521768
to_415,-72.32269658734806
cena_docelowa,-33.82212769215678
rekomendacje_kupuj,-45.61204735560697
jest_tylko,-49.80505935590826
nam,-80.48379710196144
listopada,-4.640998927717023
poniewaz,-24.553307217195417
rada_nadzorcza,-83.82101160187212
zgromadzeniu,-13.927544101271899
juz_podpisane,-79.77356243220443
oceny,inf
mowil,-41.04463319719802
wniosek,-48.698938088133254
